date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/6/24,13:32:21,22.902777,120.2731359,20.551,-113,-89,29,-123,9,-988,-0.904138565,-1.368103027,-20.55116653,-0.151149437,-1.500915885,-0.004408139,22,270
2020/6/24,13:32:24,22.9027707,120.2730522,20.832,227,9,84,-70,-9,-989,-1.619977951,-10.02779579,-20.83179665,-0.114983805,-1.55858767,0.023450658,22,270
2020/6/24,13:32:27,22.9027625,120.2729148,20.367,24,86,84,-194,85,-1060,-2.518163681,-24.0433197,-20.36764336,-0.084165096,-1.592330575,-0.000719855,22,270
2020/6/24,13:32:30,22.9027571,120.2727898,20.181,250,299,111,-45,77,-994,-3.124351501,-36.86210251,-20.18199348,-0.061930817,-1.609894633,0.010746856,22,270
2020/6/24,13:32:33,22.9027534,120.2726918,19.911,-36,9,-33,-25,60,-1094,-3.529129028,-46.90718842,-19.91194344,0.086354494,-1.3926121,0.077930383,22,270
2020/6/24,13:32:36,22.9027442,120.272698,19.771,12,29,-145,-7,-31,-1043,-4.553096771,-46.27339172,-19.77195549,0.067091413,-1.429831266,-0.021329863,22,270
2020/6/24,13:32:39,22.9026834,120.2727641,20.204,112,-61,220,-42,-36,-1000,-11.32766914,-39.49812317,-20.20497513,-0.089536168,2.329823971,0.018750172,22,270
2020/6/24,13:32:42,22.9026013,120.2728469,20.257,262,72,91,3,-40,-955,-20.46159744,-31.00729752,-20.25723839,-0.03842729,2.419982433,0.069147743,22,270
2020/6/24,13:32:45,22.9025039,120.2728955,20.019,-113,45,129,-70,-93,-951,-31.31276321,-26.02527618,-20.01964378,-0.069964632,2.903972626,0.17677708,22,270
2020/6/24,13:32:48,22.9023794,120.2729134,20.039,-123,53,-225,-97,-74,-938,-45.17041397,-24.18331909,-20.03952408,0.015337053,2.903374195,0.089396231,22,270
2020/6/24,13:32:51,22.9023207,120.2729619,20.298,261,-87,-259,58,27,-1094,-51.69784546,-19.20653152,-20.29842377,-0.003396431,1.61007297,-0.056729749,22,270
2020/6/24,13:32:54,22.9023248,120.2730749,19.991,36,-35,28,81,-119,-923,-51.25100708,-7.623783112,-19.99164009,-0.000793382,1.615789294,0.049084067,22,270
2020/6/24,13:32:57,22.9023228,120.2731964,20.031,-2,32,-48,4,-2,-1043,-51.46907806,4.837022781,-20.03162384,0.125400633,1.5691576,0.016693659,22,270
2020/6/24,13:33:00,22.9023439,120.2732277,20.225,218,-240,-1524,6,100,-1004,-49.12327576,8.048672676,-20.22525406,-0.086433686,0.141136259,-0.172740653,22,270
2020/6/24,13:33:03,22.9024301,120.2732006,20.082,74,-49,-31,-26,64,-1022,-39.52297211,5.266648293,-20.08263206,-0.128758997,-0.09518005,-0.082128629,22,270
2020/6/24,13:33:06,22.902539,120.2731745,19.856,-37,-125,18,-163,125,-995,-27.40201569,2.590297699,-19.85694504,-0.123928025,-0.136818305,-0.001335058,22,270
2020/6/24,13:33:09,22.9026677,120.2731483,20.002,-72,-203,-53,-1,38,-808,-13.07508469,-0.100694656,-20.00223923,-0.156521112,-0.203118503,-0.020655451,22,270
2020/6/24,13:33:12,22.9027753,120.2731276,19.283,57,52,-40,-79,27,-1083,-1.092920303,-2.221593857,-19.28367615,0.018816894,-0.230631754,-0.056148864,22,270
2020/6/24,13:35:34,22.9028064,120.2731639,18.665,-12,-27,45,-99,-40,-884,-0.268291473,-0.271244049,-18.6656723,-0.122649923,-1.785689354,0.025509033,22,270
2020/6/24,13:35:37,22.9028018,120.2731344,20.149,55,35,35,-65,0,-953,-0.78032589,-3.299478531,-20.14950371,-0.191566244,-1.624192357,0.006399482,22,270
2020/6/24,13:35:40,22.902795,120.2730691,20.465,130,-46,-14,-38,-23,-946,-1.451609612,-9.45482254,-20.4857502,-0.157517448,-1.61032927,0.030705405,22,270
2020/6/24,13:35:43,22.9027897,120.2730071,20.098,-132,285,-5,-199,158,-1037,-2.133493423,-16.35008049,-20.09830284,-0.155761138,-1.654839516,0.026667681,22,270
2020/6/24,13:35:46,22.9027841,120.2729464,20.073,80,14,62,-233,-15,-1051,-2.754555702,-22.57311058,-20.07375717,-0.119114198,-1.733111143,0.011216782,22,270
2020/6/24,13:35:49,22.9027754,120.2728801,19.921,68,60,13,-67,28,-991,-3.720342636,-29.36913109,-19.92155647,-0.122359082,-1.681028962,-0.001465853,22,270
2020/6/24,13:35:52,22.9027683,120.2728205,20.134,48,-89,19,-111,-55,-988,-4.515203476,-35.48561096,-20.13438416,-0.119674817,-1.62594974,0.023604155,22,270
2020/6/24,13:35:55,22.902762,120.2727561,20.11,195,-27,17,-114,-52,-995,-5.212678909,-42.0881424,-20.11065865,-0.113511659,-1.6628021,0.017623844,22,270
2020/6/24,13:35:58,22.9027556,120.2726991,20.011,-16,87,75,-190,-11,-1016,-5.9301548,-47.931427,-20.01126099,-0.050598763,-1.663502693,0.036197539,22,270
2020/6/24,13:36:01,22.9027434,120.2727012,20.028,73,319,-821,14,-114,-972,-7.285369873,-47.71582031,-20.02827263,-0.095808186,2.657898664,0.075709738,22,270
