Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change
2022-10-02,05:17:57,-33.41109769917342,-70.78494783489036,535.94,100.04333422907048,55.88000000000005
2022-10-02,05:18:02,-33.41567112634029,-70.78479976556868,591.82,100.66958782770082,55.879999999999995
2022-10-02,05:18:07,-33.42022697694149,-70.78463701297149,647.7,100.831024,55.879999999999995
2022-10-02,05:18:12,-33.42478194192286,-70.78446081354478,708.6600000000001,100.70665795007696,60.960000000000036
2022-10-02,05:18:17,-33.42935271223021,-70.78427240373453,769.62,100.47550488204064,60.95999999999992
2022-10-02,05:18:22,-33.43395597880936,-70.78407301998676,830.58,100.31658,60.960000000000036
2022-10-02,05:18:27,-33.43860237391272,-70.78386414183831,866.1400000000001,100.37655135045392,35.56000000000006
2022-10-02,05:18:32,-33.44327829501915,-70.78364822118957,901.7,100.67269834946124,35.559999999999945
2022-10-02,05:18:37,-33.447964080914055,-70.78342795303175,937.26,101.18995325547073,35.559999999999945
2022-10-02,05:18:42,-33.452640070382905,-70.78320603235618,972.82,101.91324832693114,35.56000000000006
2022-10-02,05:18:47,-33.45728660221111,-70.78298515415408,1008.38,102.82751582229132,35.559999999999945
2022-10-02,05:18:52,-33.461884015184125,-70.78276801341669,1043.94,103.917688,35.56000000000006
2022-10-02,05:18:57,-33.466426629922296,-70.7825564459735,1065.53,105.17285286911384,21.589999999999918
2022-10-02,05:19:02,-33.470964694385636,-70.78234885100676,1087.12,106.59872144112092,21.589999999999918
2022-10-02,05:19:07,-33.47556243836907,-70.78214276853694,1108.71,108.20516047811712,21.590000000000146
2022-10-02,05:19:12,-33.48028409166751,-70.78193573858455,1130.3,110.00203674219844,21.589999999999918
2022-10-02,05:19:17,-33.485193884075876,-70.78172530117006,1151.89,111.99921699546076,21.590000000000146
2022-10-02,05:19:22,-33.490356045389106,-70.78150899631389,1173.48,114.206568,21.589999999999918
2022-10-02,05:19:27,-33.49579743099542,-70.78131244351691,1190.625,116.6128000995864,17.144999999999982
2022-10-02,05:19:32,-33.50139539865625,-70.78127358020137,1207.77,119.1219979646874,17.144999999999982
2022-10-02,05:19:37,-33.506989931726345,-70.78155842326984,1224.9150000000002,121.61708984744467,17.14500000000021
2022-10-02,05:19:42,-33.512421013560456,-70.78233298962495,1242.0600000000002,123.981004,17.144999999999982
2022-10-02,05:19:47,-33.51757161392936,-70.7837829909287,1257.3000000000002,126.13516383753688,15.240000000000009
2022-10-02,05:19:52,-33.52249664826801,-70.78617291788085,1272.54,128.15497342740602,15.239999999999782
2022-10-02,05:19:57,-33.52729401842739,-70.78978695594049,1287.78,130.154332,15.240000000000009
2022-10-02,05:20:02,-33.53197745135785,-70.79476553384336,1310.64,132.21246265884477,22.860000000000127
2022-10-02,05:20:07,-33.536223974407186,-70.80067405343145,1333.5,134.269884,22.8599999999999
2022-10-02,05:20:12,-33.53970616789408,-70.8070259668133,1369.8415384615384,136.24705274436195,36.34153846153845
2022-10-02,05:20:17,-33.542415523623156,-70.81370195405748,1406.183076923077,138.1228826196396,36.34153846153845
2022-10-02,05:20:22,-33.54442326127057,-70.82067450222247,1442.5246153846151,139.8909016052451,36.34153846153822
2022-10-02,05:20:27,-33.545800600512436,-70.82791609836684,1478.8661538461538,141.54463768059057,36.341538461538676
2022-10-02,05:20:32,-33.54661876102491,-70.83539922954914,1515.2076923076922,143.07761882508814,36.34153846153845
2022-10-02,05:20:37,-33.54694896248411,-70.84309638282785,1551.5492307692307,144.48337301814993,36.34153846153845
2022-10-02,05:20:42,-33.546862424566186,-70.85098004526155,1587.8907692307694,145.75542823918803,36.341538461538676
2022-10-02,05:20:47,-33.54643036694726,-70.85902270390876,1624.2323076923076,146.8873124676147,36.34153846153822
2022-10-02,05:20:52,-33.545724009303484,-70.86719684582803,1660.5738461538465,147.87255368284198,36.3415384615389
2022-10-02,05:20:57,-33.54481457131097,-70.87547495807786,1696.9153846153845,148.704679864282,36.34153846153799
2022-10-02,05:21:02,-33.543773272645886,-70.88382952771681,1733.2569230769232,149.37721899134692,36.341538461538676
2022-10-02,05:21:07,-33.542671332984334,-70.89223304180341,1769.5984615384616,149.88369904344887,36.34153846153845
2022-10-02,05:21:12,-33.54157997200247,-70.9006579873962,1805.94,150.217648,36.34153846153845
2022-10-02,05:21:17,-33.540576643213285,-70.90907617084247,1856.4225,150.38705250107247,50.482499999999845
2022-10-02,05:21:22,-33.53976373547721,-70.9174566756446,1906.905,150.45773382937892,50.48250000000007
2022-10-02,05:21:27,-33.53924987149155,-70.92576790459373,1957.3875,150.50997192829198,50.48250000000007
2022-10-02,05:21:32,-33.53914367395361,-70.93397826048101,2007.87,150.62404674118434,50.482499999999845
2022-10-02,05:21:37,-33.539553765560676,-70.94205614609758,2058.3525,150.88023821142863,50.48250000000007
2022-10-02,05:21:42,-33.540588769010064,-70.94996996423458,2108.835,151.3588262823976,50.48250000000007
2022-10-02,05:21:47,-33.54235730699906,-70.95768811768316,2159.3175,152.1400908974638,50.48250000000007
2022-10-02,05:21:52,-33.54496800222496,-70.96517900923448,2209.8,153.304312,50.48250000000007
2022-10-02,05:21:57,-33.54846893551921,-70.97234646309134,2251.71,154.84279860325722,41.909999999999854
2022-10-02,05:22:02,-33.552666020249724,-70.97883598910339,2293.62,156.390976,41.909999999999854
2022-10-02,05:22:07,-33.55740811152137,-70.98436115031494,2335.5299999999997,157.58861497480706,41.909999999999854
2022-10-02,05:22:12,-33.56295799885014,-70.98916603690239,2377.44,158.448752,41.91000000000031
2022-10-02,05:22:17,-33.569484924435,-70.99357989216064,2426.9700000000003,159.06470349751456,49.5300000000002
2022-10-02,05:22:22,-33.576370006795784,-70.99774204472646,2476.5,159.47764,49.529999999999745
2022-10-02,05:22:27,-33.58297195641954,-71.00173638233564,2522.2200000000003,159.7388305351348,45.720000000000255
2022-10-02,05:22:32,-33.58934797534126,-71.00561494377791,2567.94,159.992084,45.7199999999998
2022-10-02,05:22:37,-33.59569956597986,-71.00942411033175,2613.66,160.3732981620904,45.7199999999998
2022-10-02,05:22:42,-33.60210694074184,-71.01321948217637,2659.38,160.89418640115352,45.720000000000255
2022-10-02,05:22:47,-33.60861998953063,-71.0170589642161,2705.1,161.535416,45.7199999999998
2022-10-02,05:22:52,-33.615271299174154,-71.02098544544313,2744.2885714285712,162.27297721222192,39.18857142857132
2022-10-02,05:22:57,-33.62202424419835,-71.02498175120064,2783.477142857143,163.06415217453738,39.18857142857178
2022-10-02,05:23:02,-33.62882489605367,-71.02901569091968,2822.6657142857143,163.8615459944458,39.18857142857132
2022-10-02,05:23:07,-33.63561932619054,-71.0330550740312,2861.8542857142857,164.6177637794468,39.18857142857132
2022-10-02,05:23:12,-33.642353606059444,-71.03706770996621,2901.042857142857,165.2854106370398,39.18857142857132
2022-10-02,05:23:17,-33.64897380711078,-71.0410214081557,2940.2314285714288,165.8170916747244,39.18857142857178
2022-10-02,05:23:22,-33.655426000795025,-71.04488397803068,2979.42,166.165412,39.18857142857132
2022-10-02,05:23:27,-33.66170802580341,-71.0486537475347,3017.52,166.35973539531554,38.09999999999991
2022-10-02,05:23:32,-33.66802478979033,-71.05245111866162,3055.6200000000003,166.73646034291707,38.100000000000364
2022-10-02,05:23:37,-33.67463296765101,-71.05642701191783,3093.7200000000003,167.708744,38.09999999999991
2022-10-02,05:23:42,-33.68170445102913,-71.0606822098278,3112.7700000000004,169.5312035148358,19.050000000000182
2022-10-02,05:23:47,-33.68907199856247,-71.06511694298815,3131.82,171.824296,19.049999999999727
2022-10-02,05:23:52,-33.696525505153495,-71.06960623356815,3161.8517647058825,174.13978198617724,30.031764705882324
2022-10-02,05:23:57,-33.70402254376956,-71.07412482195544,3191.883529411765,176.38879571218428,30.031764705882324
2022-10-02,05:24:02,-33.71156260689419,-71.07867237809235,3221.915294117647,178.57231484387086,30.031764705882324
2022-10-02,05:24:07,-33.71914518701097,-71.08324857192112,3251.9470588235295,180.6913170470868,30.031764705882324
2022-10-02,05:24:12,-33.726769776603454,-71.08785307338403,3281.978823529412,182.74677998768183,30.031764705882324
2022-10-02,05:24:17,-33.73443586815518,-71.0924855524234,3312.010588235294,184.73968133150575,30.031764705882324
2022-10-02,05:24:22,-33.7421429541497,-71.09714567898145,3342.0423529411764,186.67099874440837,30.031764705882324
2022-10-02,05:24:27,-33.749890527070576,-71.10183312300052,3372.074117647059,188.54170989223945,30.03176470588278
2022-10-02,05:24:32,-33.757678079401366,-71.10654755442286,3402.1058823529415,190.35279244084873,30.031764705882324
2022-10-02,05:24:37,-33.76550510362562,-71.11128864319073,3432.137647058824,192.105224056086,30.031764705882324
2022-10-02,05:24:42,-33.77337109222689,-71.11605605924645,3462.169411764706,193.7999824038011,30.031764705882324
2022-10-02,05:24:47,-33.78127553768873,-71.12084947253227,3492.2011764705885,195.43804514984376,30.031764705882324
2022-10-02,05:24:52,-33.7892179324947,-71.12566855299046,3522.232941176471,197.02038996006377,30.031764705882324
2022-10-02,05:24:57,-33.79719776912835,-71.13051297056333,3552.264705882353,198.5479945003109,30.031764705882324
2022-10-02,05:25:02,-33.80521454007323,-71.13538239519316,3582.2964705882355,200.02183643643488,30.031764705882324
